,Player,Season,PA,AB,AVG,HardHit%,Barrel%,EV,K%,Contact%,O-Swing%,Z-Swing%,SwStr%
13,David Ortiz,2015,614,528,0.273,0.493,0.124,93.0,0.155,0.78,0.28300000000000003,0.7190000000000001,0.098
25,Carlos Gonzalez,2015,608,554,0.271,0.386,0.096,90.3,0.21899999999999997,0.715,0.377,0.7809999999999999,0.152
54,Josh Reddick,2015,582,526,0.272,0.32299999999999995,0.047,88.4,0.11199999999999999,0.856,0.28600000000000003,0.637,0.062
61,Robinson Cano,2015,674,624,0.287,0.457,0.069,91.0,0.159,0.826,0.324,0.732,0.087
78,Brian McCann,2015,535,465,0.232,0.36,0.043,89.5,0.18100000000000002,0.846,0.318,0.5579999999999999,0.064
28,Alex Rodriguez,2015,620,523,0.25,0.434,0.106,91.3,0.23399999999999999,0.703,0.268,0.6759999999999999,0.13
82,Neil Walker,2015,603,543,0.269,0.376,0.040999999999999995,88.9,0.182,0.8170000000000001,0.326,0.726,0.091
89,Asdrubal Cabrera,2015,551,505,0.265,0.32299999999999995,0.049,88.3,0.19399999999999998,0.795,0.368,0.752,0.109
88,Trevor Plouffe,2015,632,573,0.244,0.38799999999999996,0.075,89.8,0.196,0.804,0.255,0.655,0.087
117,Addison Russell,2015,523,475,0.242,0.289,0.046,86.8,0.285,0.713,0.303,0.701,0.13699999999999998
48,Charlie Blackmon,2015,682,614,0.287,0.29,0.031,86.8,0.16399999999999998,0.853,0.281,0.603,0.062
76,Brett Gardner,2015,656,571,0.259,0.34700000000000003,0.038,88.8,0.20600000000000002,0.813,0.22899999999999998,0.5579999999999999,0.07
96,Brandon Phillips,2015,623,588,0.294,0.26,0.019,86.2,0.109,0.825,0.37799999999999995,0.745,0.095
102,Kolten Wong,2015,613,557,0.262,0.336,0.027999999999999997,87.4,0.155,0.8220000000000001,0.35,0.733,0.08900000000000001
49,Christian Yelich,2015,525,476,0.3,0.451,0.043,91.7,0.192,0.797,0.261,0.645,0.087
63,Troy Tulowitzki,2015,534,486,0.28,0.40700000000000003,0.053,90.0,0.213,0.7909999999999999,0.297,0.637,0.094
81,Ender Inciarte,2015,561,524,0.303,0.19699999999999998,0.006,85.5,0.10300000000000001,0.8959999999999999,0.341,0.609,0.049
129,Yadier Molina,2015,530,488,0.27,0.255,0.018000000000000002,86.3,0.111,0.852,0.364,0.76,0.079
42,Yunel Escobar,2015,591,535,0.314,0.363,0.026000000000000002,89.8,0.11800000000000001,0.843,0.284,0.755,0.078
95,Ben Revere,2015,634,592,0.306,0.142,0.0,83.1,0.10099999999999999,0.9009999999999999,0.289,0.584,0.040999999999999995
43,Mitch Moreland,2015,515,471,0.278,0.456,0.096,91.4,0.217,0.762,0.304,0.695,0.11199999999999999
83,Daniel Murphy,2015,538,499,0.281,0.379,0.036000000000000004,89.9,0.071,0.919,0.335,0.715,0.039
114,Gregory Polanco,2015,652,593,0.256,0.396,0.04,89.9,0.18600000000000003,0.816,0.306,0.632,0.08
24,Kendrys Morales,2015,639,569,0.29,0.47,0.085,91.9,0.161,0.7829999999999999,0.318,0.7140000000000001,0.10400000000000001
73,Carlos Santana,2015,666,550,0.231,0.395,0.067,89.2,0.183,0.83,0.21100000000000002,0.579,0.062
86,Jhonny Peralta,2015,640,579,0.275,0.335,0.038,88.1,0.17300000000000001,0.787,0.32299999999999995,0.757,0.106
29,Prince Fielder,2015,693,613,0.305,0.44299999999999995,0.055,90.9,0.127,0.8140000000000001,0.33799999999999997,0.713,0.08900000000000001
39,Adam Lind,2015,572,502,0.277,0.36,0.062,89.5,0.175,0.807,0.341,0.613,0.086
67,Gerardo Parra,2015,589,547,0.291,0.297,0.027999999999999997,88.2,0.156,0.831,0.39399999999999996,0.731,0.092
87,Brock Holt,2015,509,454,0.28,0.242,0.006,86.6,0.191,0.865,0.262,0.574,0.055
74,DJ LeMahieu,2015,620,564,0.301,0.39799999999999996,0.017,90.5,0.17300000000000001,0.852,0.248,0.635,0.064
91,Billy Burns,2015,555,520,0.294,0.14300000000000002,0.0,83.2,0.146,0.857,0.377,0.7879999999999999,0.083
45,Carlos Beltran,2015,531,478,0.276,0.419,0.043,90.6,0.16,0.8370000000000001,0.294,0.669,0.07400000000000001
60,Stephen Vogt,2015,511,445,0.261,0.301,0.045,86.9,0.19,0.835,0.29600000000000004,0.58,0.068
84,Yangervis Solarte,2015,571,526,0.27,0.316,0.023,88.2,0.098,0.882,0.32,0.6809999999999999,0.057
